Date,Snowfall (inches)
3/12/21 19:00,0
3/13/21 12:00,0
3/13/21 12:30,0.5
3/13/21 13:00,0.25
3/13/21 13:40,0.15
3/13/21 14:00,0
3/13/21 15:46,0
3/13/21 16:00,0.25
3/13/21 17:00,0.25
3/13/21 17:30,0.5
3/13/21 17:45,0.75
3/13/21 18:15,0.75
3/13/21 18:45,1
3/14/21 0:15,1
3/14/21 2:00,1.25
3/14/21 3:00,1.5
3/14/21 4:30,1.5
3/14/21 4:46,1.75
3/14/21 5:00,2
3/14/21 5:45,2.5
3/14/21 6:10,3
3/14/21 7:12,3.5
3/14/21 7:58,4
3/14/21 8:15,4.5
3/14/21 8:56,5
3/14/21 9:30,5.5
3/14/21 9:45,6
3/14/21 9:54,6.5
3/14/21 10:02,7
3/14/21 10:12,7.5
3/14/21 10:20,8
3/14/21 10:26,8.5
3/14/21 10:32,9
3/14/21 10:44,9.5
3/14/21 11:02,10
3/14/21 11:14,10.5
3/14/21 11:20,11
3/14/21 11:26,11.5
3/14/21 11:36,12
3/14/21 11:52,12.5
3/14/21 12:02,13
3/14/21 12:08,13.5
3/14/21 12:20,14
3/14/21 12:42,14.5
3/14/21 12:58,15
3/14/21 13:22,15.5
3/14/21 15:00,16
3/14/21 21:50,21
